z bin_0 bin_1 bin_2 bin_3 bin_4
1.300000000000000044e-01 3.885581275123642375e-01 9.826441217248908094e-03 5.897846307122055968e-05 3.292830341058974773e-07 4.124248666563273595e-09
1.400000000000000133e-01 4.226004432231889596e-01 1.145958887402437863e-02 7.145327932834677053e-05 4.025735795336397535e-07 4.996703490043559288e-09
1.499999999999999944e-01 4.578333617716143777e-01 1.333079584589077875e-02 8.640321593254217088e-05 4.915021745115792321e-07 6.047810838939164898e-09
1.600000000000000033e-01 4.940699735316384511e-01 1.546882697280177639e-02 1.042837588125564949e-04 5.992525322871561292e-07 7.312884321824973733e-09
1.700000000000000122e-01 5.310959910353453273e-01 1.790494328288144005e-02 1.256268508539628811e-04 7.296230947208288414e-07 8.833953167409399712e-09
1.799999999999999933e-01 5.686710537186722147e-01 2.067296557396212930e-02 1.510522843375999228e-04 8.871387029857212961e-07 1.066098582129883941e-08
1.900000000000000022e-01 6.065306597126335353e-01 2.380931369324432514e-02 1.812805244854793520e-04 1.077181139702274081e-06 1.285332601571994455e-08
2.000000000000000111e-01 6.443887248251954913e-01 2.735301706033481037e-02 2.171470971790266527e-04 1.306141459371575586e-06 1.548137623079003701e-08
2.099999999999999922e-01 6.819407511903482488e-01 3.134569182470186427e-02 2.596186782807344555e-04 1.581597424827651140e-06 1.862856884516950672e-08
2.200000000000000011e-01 7.188675697091758687e-01 3.583147996933863655e-02 3.098110249630951817e-04 1.912519814608930705e-06 2.239367141904827844e-08
2.300000000000000100e-01 7.548396019890074582e-01 4.085694568151919392e-02 3.690088906927637270e-04 2.309511863522233525e-06 2.689347956192196012e-08
2.399999999999999911e-01 7.895215696607880140e-01 4.647092442199723256e-02 4.386880646666746963e-04 2.785086650177829363e-06 3.226595882098667657e-08
2.500000000000000000e-01 8.225775623986646412e-01 5.272432034808890305e-02 5.205396731545383886e-04 3.353987854870803844e-06 3.867390610464170507e-08
2.600000000000000089e-01 8.536763613451477939e-01 5.966984809481956642e-02 6.164968739472047668e-04 4.033559982787858070e-06 4.630921146388390566e-08
2.700000000000000178e-01 8.824969025845955661e-01 6.736171540096046184e-02 7.287640654997330422e-04 4.844174884931216251e-06 5.539781274062497302e-08
2.800000000000000266e-01 9.087337563610702329e-01 7.585524369034668535e-02 8.598487189333736333e-04 5.809722215969422697e-06 6.620544881951385276e-08
2.899999999999999800e-01 9.321024923595275791e-01 8.520642448756440834e-02 1.012595923355541581e-03 6.958172347741946116e-06 7.904433216817831513e-08
2.999999999999999889e-01 9.523447998951763971e-01 9.547141046187322677e-02 1.190225712506054207e-03 8.322221212232269134e-06 9.428087821660972701e-08
3.099999999999999978e-01 9.692332344763441299e-01 1.067059409512636642e-01 1.396373213087889363e-03 9.940027580798664196e-06 1.123446481247186777e-07
3.200000000000000067e-01 9.825754689579003776e-01 1.189647030128968552e-01 1.635131621862118611e-03 1.185605439892878840e-05 1.337386828522941752e-07
3.300000000000000155e-01 9.922179382602435149e-01 1.323006303653823656e-01 1.911097979288356192e-03 1.412202698849985418e-05 1.590514304325520229e-07
3.400000000000000244e-01 9.980487811074755244e-01 1.467641440162807398e-01 2.229421661836939079e-03 1.679802220216857121e-05 1.889704952354109698e-07
3.500000000000000333e-01 1.000000000000000000e+00 1.624023398839352927e-01 2.595855462820417618e-03 1.995370396550682210e-05 2.242984680881603718e-07
3.599999999999999867e-01 9.980487811074755244e-01 1.792581303005016391e-01 3.016809072512901570e-03 2.366972206878468766e-05 2.659711297209387105e-07
3.699999999999999956e-01 9.922179382602435149e-01 1.973693478925858669e-01 3.499404702377971986e-03 2.803929256711319243e-05 3.150783574678400224e-07
3.800000000000000044e-01 9.825754689579003776e-01 2.167678219426728281e-01 4.051534525468305017e-03 3.316997970826171511e-05 3.728881068510208951e-07
3.900000000000000133e-01 9.692332344763440188e-01 2.374784389003376794e-01 4.681919525702823819e-03 3.918570092289735144e-05 4.408738859991022686e-07
4.000000000000000222e-01 9.523447998951762861e-01 2.595182001958648565e-01 5.400169263145535546e-03 4.622897807078344041e-05 5.207461922204493290e-07
4.100000000000000311e-01 9.321024923595274680e-01 2.828952918670363248e-01 6.216841971170104265e-03 5.446345982440782215e-05 6.144884369096446530e-07
4.199999999999999845e-01 9.087337563610700109e-01 3.076081816980884009e-01 7.143504305264936766e-03 6.407674177123852291e-05 7.243979477765626306e-07
4.299999999999999933e-01 8.824969025845953441e-01 3.336447605438330188e-01 8.192789963205106621e-03 7.528351250675463643e-05 8.531327066408356794e-07
4.400000000000000022e-01 8.536763613451476829e-01 3.609815452287307713e-01 9.378456293612684805e-03 8.832905564824014002e-05 1.003764557237567221e-06
4.500000000000000111e-01 8.225775623986645302e-01 3.895829608300197533e-01 1.071543790601179116e-02 1.034931392960418710e-04 1.179839701160604894e-06
4.600000000000000200e-01 7.895215696607877920e-01 4.194007202397079248e-01 1.221989619206654935e-02 1.210943259723054529e-04 1.385447391769094237e-06
4.700000000000000289e-01 7.548396019890071251e-01 4.503733186216796747e-01 1.390926356672587093e-02 1.414947374406707410e-04 1.625297836155926391e-06
4.799999999999999822e-01 7.188675697091757577e-01 4.824256597135858082e-01 1.580228114167957915e-02 1.651053100130837252e-04 1.904810424684683278e-06
4.899999999999999911e-01 6.819407511903480268e-01 5.154688298528868895e-01 1.791902845426898358e-02 1.923915769362821769e-04 2.230213526708976731e-06
5.000000000000000000e-01 6.443887248251952693e-01 5.494000341259370757e-01 2.028094379540979972e-02 2.238800151705626460e-04 2.608657220455069657e-06
5.100000000000000089e-01 6.065306597126333132e-01 5.841027071519659941e-01 2.291083361296199564e-02 2.601649942724946975e-04 3.048340465224849803e-06
5.200000000000000178e-01 5.686710537186718817e-01 6.194468087345956775e-01 2.583286941524210942e-02 3.019163651122606842e-04 3.558654375591913930e-06
5.300000000000000266e-01 5.310959910353451052e-01 6.552893119676513889e-01 2.907257056603052350e-02 3.498877257319388517e-04 4.150343420620259626e-06
5.400000000000000355e-01 4.940699735316380625e-01 6.914748884061601153e-01 3.265677135051754665e-02 4.049254007161315447e-04 4.835686546795134639e-06
5.500000000000000444e-01 4.578333617716139892e-01 7.278367916551602423e-01 3.661357070417600723e-02 4.679781689302694829e-04 5.628700411729638316e-06
5.600000000000000533e-01 4.226004432231885710e-01 7.641979372460919739e-01 4.097226303645586099e-02 5.401077723111432716e-04 6.545367117144418360e-06
5.700000000000000622e-01 3.885581275123638489e-01 8.003721730301694981e-01 4.576324865120404151e-02 6.225002354932199829e-04 7.603889044377251339e-06
5.799999999999999600e-01 3.558652521421384884e-01 8.361657305952415742e-01 5.101792236829891247e-02 7.164780223461573614e-04 8.824973623933964710e-06
5.899999999999999689e-01 3.246524673583497389e-01 8.713788444884289497e-01 5.676853908828790457e-02 8.235130509066752522e-04 1.023215111239758176e-05
5.999999999999999778e-01 2.950226561744428433e-01 9.058075223868086168e-01 6.304805521551698488e-02 9.452405826356704730e-04 1.185212870529099376e-05
6.099999999999999867e-01 2.670518352263433481e-01 9.392454458902417258e-01 6.988994506652621008e-02 1.083473995345381798e-03 1.371518458300569299e-05
6.199999999999999956e-01 2.407904742722485614e-01 9.714859784014642230e-01 7.732799163990750069e-02 1.240220441452440786e-03 1.585560576826051772e-05
6.300000000000000044e-01 2.162651668298871954e-01 1.002324253693526401e+00 8.539605141124670395e-02 1.417697384356232920e-03 1.831217396712034548e-05
6.400000000000000133e-01 1.934805816070466478e-01 1.031559316323050757e+00 9.412779314130459429e-02 1.618349995662823285e-03 2.112870387056517055e-05
6.500000000000000222e-01 1.724216238937527346e-01 1.058996283101514502e+00 1.035564110454757630e-01 1.844869384625309966e-03 2.435463870884710744e-05
6.600000000000000311e-01 1.530557377363581106e-01 1.084448493447835338e+00 1.137143130651803447e-01 2.100211618517703899e-03 2.804570817506574538e-05
6.700000000000000400e-01 1.353352832366125635e-01 1.107739615663962951e+00 1.246327854036252819e-01 2.387617478680438901e-03 3.226465416582882098e-05
6.800000000000000488e-01 1.191999284026472039e-01 1.128705676037210504e+00 1.363416349348082479e-01 2.710632881666990863e-03 3.708203012357048954e-05
6.900000000000000577e-01 1.045790012890013554e-01 1.147196978199719997e+00 1.488688115602741779e-01 3.073129878297835033e-03 4.257708010466818786e-05
7.000000000000000666e-01 9.139375535604715717e-02 1.163079881371613000e+00 1.622400130665918594e-01 3.479328125525529922e-03 4.883870403719796154e-05
7.099999999999999645e-01 7.955950871822768666e-02 1.176238407968106303e+00 1.764782755205248355e-01 3.933816706893179110e-03 5.596651596879296571e-05
7.199999999999999734e-01 6.898762591723940629e-02 1.186575653533479491e+00 1.916035527203744926e-01 4.441576157112847936e-03 6.407200243500261777e-05
7.299999999999999822e-01 5.958731876198608557e-02 1.194014975031218784e+00 2.076322886921848354e-01 5.008000525014482708e-03 7.327978839768589539e-05
7.399999999999999911e-01 5.126725037065774787e-02 1.198500937109497011e+00 2.245769876690811018e-01 5.638919286963589225e-03 8.372901850671705742e-05
7.500000000000000000e-01 4.393693362340742037e-02 1.199999999999999956e+00 2.424457864111534966e-01 6.340618899991719293e-03 9.557486172152724062e-05
7.600000000000000089e-01 3.750792162429372051e-02 1.198500937109497011e+00 2.612420341019737746e-01 7.119863760537222322e-03 1.089901475861097135e-04
7.700000000000000178e-01 3.189479336215710059e-02 1.194014975031218784e+00 2.809638853859026675e-01 7.983916311096411408e-03 1.241671426758970357e-04
7.800000000000000266e-01 2.701594248026508230e-02 1.186575653533479491e+00 3.016039123778722075e-01 8.940556013515134001e-03 1.413194759206410516e-04
7.900000000000000355e-01 2.279418088361231595e-02 1.176238407968106303e+00 3.231487416746933738e-01 9.998096884418074953e-03 1.606842216468050985e-04
8.000000000000000444e-01 1.915717183712911317e-02 1.163079881371612778e+00 3.455787225151887299e-01 1.116540326572457338e-02 1.825241492681787528e-04
8.100000000000000533e-01 1.603770927535053473e-02 1.147196978199719775e+00 3.688676322674325214e-01 1.245190348171200390e-02 2.071301485760821326e-04
8.200000000000000622e-01 1.337386131702462087e-02 1.128705676037210281e+00 3.929824253580880278e-01 1.386760101406990693e-02 2.348238395317582918e-04
8.300000000000000711e-01 1.110899653824228700e-02 1.107739615663962729e+00 4.178830315955338603e-01 1.542308280827443638e-02 2.659603753339976413e-04
8.399999999999999689e-01 9.191711499228340937e-03 1.084448493447835338e+00 4.435222095710121826e-01 1.712952430886551317e-02 3.009314473148910155e-04
8.499999999999999778e-01 7.575677444259935542e-03 1.058996283101514502e+00 4.698454604479895824e-01 1.899869080830392937e-02 3.401684998956810697e-04
8.599999999999999867e-01 6.219423104531864033e-03 1.031559316323050757e+00 4.967910069687713204e-01 2.104293468451843077e-02 3.841461634024334344e-04
8.699999999999999956e-01 5.086069231012700642e-03 1.002324253693526401e+00 5.242898419207159266e-01 2.327518809652317014e-02 4.333859119869768210e-04
8.800000000000000044e-01 4.143028963345551756e-03 9.714859784014642230e-01 5.522658496157994978e-01 2.570895070609531888e-02 4.884599532111996495e-04
8.900000000000000133e-01 3.361686487932256245e-03 9.392454458902417258e-01 5.806360031527203480e-01 2.835827199694551312e-02 5.499953550215782791e-04
9.000000000000000222e-01 2.717064729323583668e-03 9.058075223868086168e-01 6.093106393582733427e-01 3.123772777156846522e-02 6.186784148545337566e-04
9.100000000000000311e-01 2.187491118182881191e-03 8.713788444884289497e-01 6.381938123546418984e-01 3.436239042048216952e-02 6.952592744614953524e-04
9.200000000000000400e-01 1.754268838696968012e-03 8.361657305952415742e-01 6.671837256838971664e-01 3.774779257926840631e-02 7.805567827145963285e-04
9.300000000000000488e-01 1.401359418885389507e-03 8.003721730301690540e-01 6.961732418545905077e-01 4.140988381608751157e-02 8.754636071403688402e-04
9.400000000000000577e-01 1.115081118163709041e-03 7.641979372460915299e-01 7.250504670738838753e-01 4.536498002647831179e-02 9.809515932197726551e-04
9.500000000000000666e-01 8.838263069350483321e-04 7.278367916551599093e-01 7.536994078095845540e-01 4.962970525351310946e-02 1.098077368580952689e-03
9.599999999999999645e-01 6.977999331588579431e-04 6.914748884061601153e-01 7.820006947083669724e-01 5.422092569993871430e-02 1.227988187087877478e-03
9.699999999999999734e-01 5.487802334320487701e-04 6.552893119676513889e-01 8.098323682987828009e-01 5.915567575487740148e-02 1.371928005488872284e-03
9.799999999999999822e-01 4.299020675927022329e-04 6.194468087345956775e-01 8.370707198502657098e-01 6.445107592097919225e-02 1.531243782728016790e-03
9.899999999999999911e-01 3.354626279025118532e-04 5.841027071519659941e-01 8.635911797621622643e-01 7.012424259848826225e-02 1.707391989238335071e-03
1.000000000000000000e+00 2.607487846688268129e-04 5.494000341259370757e-01 8.892692449393982956e-01 7.619218976027694601e-02 1.901945310526508524e-03
1.010000000000000009e+00 2.018849656009157880e-04 5.154688298528868895e-01 9.139814357924949118e-01 8.267172263615957251e-02 2.116599526127004201e-03
1.020000000000000018e+00 1.557002108372995946e-04 4.824256597135858082e-01 9.376062727968217381e-01 8.957932361523673892e-02 2.353180541552579112e-03
1.030000000000000027e+00 1.196128835810243658e-04 4.503733186216793416e-01 9.600252619750854199e-01 9.693103067102890047e-02 2.613651547204734905e-03
1.040000000000000036e+00 9.153143205000375323e-05 4.194007202397076473e-01 9.811238782420133031e-01 1.047423087149832455e-01 2.900120274341885969e-03
1.050000000000000044e+00 6.976957719599709566e-05 3.895829608300194757e-01 1.000792535282478690e+00 1.130279143887047560e-01 3.214846314147208183e-03
1.060000000000000053e+00 5.297432874795784317e-05 3.609815452287304938e-01 1.018927530532758752e+00 1.218017549129514349e-01 3.560248461708890103e-03
1.070000000000000062e+00 4.006529739295106870e-05 3.336447605438327968e-01 1.035431953905075586e+00 1.310767417209077745e-01 3.938912042342520257e-03
1.080000000000000071e+00 3.018386267223585387e-05 3.076081816980881789e-01 1.050216549140795985e+00 1.408646397132629624e-01 4.353596173172304129e-03
1.090000000000000080e+00 2.265086538322922972e-05 2.828952918670359917e-01 1.063200517097090181e+00 1.511759130817802721e-01 4.807240908272254233e-03
1.100000000000000089e+00 1.693161243612993107e-05 2.595182001958645235e-01 1.074312250861655160e+00 1.620195687549209895e-01 5.302974210981954359e-03
1.110000000000000098e+00 1.260710517704847866e-05 2.374784389003374019e-01 1.083489993343074609e+00 1.734029986221056474e-01 5.844118692289846685e-03
1.120000000000000107e+00 9.350524453063420918e-06 2.167678219426725506e-01 1.090682408890171873e+00 1.853318217907788668e-01 6.434198049459838482e-03
1.130000000000000115e+00 6.908123638278739448e-06 1.973693478925856726e-01 1.095849061538844538e+00 1.978097282209205499e-01 7.076943134408646141e-03
1.140000000000000124e+00 5.083791965131288311e-06 1.792581303005014171e-01 1.098960793653144252e+00 2.108383251633634548e-01 7.776297576769613563e-03
1.150000000000000133e+00 3.726653172078651033e-06 1.624023398839350707e-01 1.100000000000000089e+00 2.244169878995667389e-01 8.536422882155838068e-03
1.159999999999999920e+00 2.721157749549562000e-06 1.467641440162809341e-01 1.098960793653144252e+00 2.385427163397142447e-01 9.361702921917234785e-03
1.169999999999999929e+00 1.979210559670134684e-06 1.323006303653823656e-01 1.095849061538844538e+00 2.532099990816081281e-01 1.025674772673201667e-02
1.179999999999999938e+00 1.433949367482238918e-06 1.189647030128969662e-01 1.090682408890171651e+00 2.684106865632792105e-01 1.122639649274537361e-02
1.189999999999999947e+00 1.034854211109375308e-06 1.067059409512636642e-01 1.083489993343074387e+00 2.841338749562309918e-01 1.227571970573286715e-02
1.199999999999999956e+00 7.439231317435030044e-07 9.547141046187331004e-02 1.074312250861654938e+00 3.003658024424675776e-01 1.341002028599037887e-02
1.209999999999999964e+00 5.326972955014612198e-07 8.520642448756440834e-02 1.063200517097089959e+00 3.170897594959470878e-01 1.463483365440659822e-02
1.219999999999999973e+00 3.799587567442002452e-07 7.585524369034668535e-02 1.050216549140795763e+00 3.342860147469493559e-01 1.595592661852861943e-02
1.229999999999999982e+00 2.699578503363014081e-07 6.736171540096046184e-02 1.035431953905075364e+00 3.519317579454391276e-01 1.737929497645811922e-02
1.239999999999999991e+00 1.910552612175631187e-07 5.966984809481956642e-02 1.018927530532758086e+00 3.700010614564684941e-01 1.891115973618555726e-02
1.250000000000000000e+00 1.346869688808710499e-07 5.272432034808890305e-02 1.000792535282478246e+00 3.884648616168683843e-01 2.055796184855395586e-02
1.260000000000000009e+00 9.457921259930551340e-08 4.647092442199723256e-02 9.811238782420129700e-01 4.072909611581191358e-01 2.232635535350997041e-02
1.270000000000000018e+00 6.615601637697700809e-08 4.085694568151919392e-02 9.600252619750849759e-01 4.264440537558276123e-01 2.422319884171399845e-02
1.280000000000000027e+00 4.609422688712382556e-08 3.583147996933863655e-02 9.376062727968211830e-01 4.458857716024524076e-01 2.625554513700560297e-02
1.290000000000000036e+00 3.199095917006897109e-08 3.134569182470186427e-02 9.139814357924944677e-01 4.655747567179117641e-01 2.843062910971048962e-02
1.300000000000000044e+00 2.211625175827148285e-08 2.735301706033481037e-02 8.892692449393977405e-01 4.854667565138638952e-01 3.075585353638519287e-02
1.310000000000000053e+00 1.522997974471262915e-08 2.380931369324432514e-02 8.635911797621618202e-01 5.055147439134920484e-01 3.323877292836621006e-02
1.320000000000000062e+00 1.044697760260710651e-08 2.067296557396212930e-02 8.370707198502650437e-01 5.256690621015364107e-01 3.588707525946042282e-02
1.330000000000000071e+00 7.138147842919319008e-09 1.790494328288139148e-02 8.098323682987822458e-01 5.458775937413701262e-01 3.870856153230841507e-02
1.340000000000000080e+00 4.858295770681454591e-09 1.546882697280176425e-02 7.820006947083664173e-01 5.660859542496473606e-01 4.171112313339025990e-02
1.350000000000000089e+00 3.293714110306080918e-09 1.333079584589074405e-02 7.536994078095836658e-01 5.862377084671864802e-01 4.490271693832814659e-02
1.360000000000000098e+00 2.224289885171906105e-09 1.145958887402435782e-02 7.250504670738828761e-01 6.062746098102541614e-01 4.829133814206758302e-02
1.370000000000000107e+00 1.496237071043945951e-09 9.826441217248880339e-03 6.961732418545895085e-01 6.261368607323540836e-01 5.188499080266663344e-02
1.380000000000000115e+00 1.002565998499557389e-09 8.405000579234891966e-03 6.671837256838961672e-01 6.457633930762265440e-01 5.569165610275937650e-02
1.390000000000000124e+00 6.691586091292781558e-10 7.171227474007118782e-03 6.381938123546410102e-01 6.650921666522779940e-01 5.971925834923587362e-02
1.400000000000000133e+00 4.448859650129305051e-10 6.103283077215229148e-03 6.093106393582723435e-01 6.840604841464115182e-01 6.397562874923307108e-02
1.409999999999999920e+00 2.946265481618800656e-10 5.181408009159707041e-03 5.806360031527201260e-01 7.026053202404354270e-01 6.846846701908107513e-02
1.419999999999999929e+00 1.943562841426473372e-10 4.387795056063478402e-03 5.522658496157991648e-01 7.206636626251269329e-01 7.320530090230094322e-02
1.429999999999999938e+00 1.277111554512833423e-10 3.706458489884129071e-03 5.242898419207155936e-01 7.381728624026056007e-01 7.819344369299176256e-02
1.439999999999999947e+00 8.359159618446972560e-11 3.123102303270485977e-03 4.967910069687709873e-01 7.550709912138729996e-01 8.343994988185303441e-02
1.449999999999999956e+00 5.450043132884138981e-11 2.624989341819466710e-03 4.698454604479891938e-01 7.712972022917508053e-01 8.895156906351357751e-02
1.459999999999999964e+00 3.539490881206400595e-11 2.200812996087791584e-03 4.435222095710119605e-01 7.867920925314292324e-01 9.473469826562878893e-02
1.469999999999999973e+00 2.289734845645536504e-11 1.840572815189358896e-03 4.178830315955333607e-01 8.014980625924179591e-01 1.007953328821874217e-01
1.479999999999999982e+00 1.475479317373363757e-11 1.535455125479908388e-03 3.929824253580874727e-01 8.153596719985585217e-01 1.071390164154506774e-01
1.489999999999999991e+00 9.470754871762884609e-12 1.277719484001505834e-03 3.688676322674319663e-01 8.283239861881880328e-01 1.137707892527348164e-01
1.500000000000000000e+00 6.055354917708248670e-12 1.060591568322059820e-03 3.455787225151882858e-01 8.403409124854062107e-01 1.206951367256269003e-01
1.510000000000000009e+00 3.856542728469696727e-12 8.781629026565672619e-04 3.231487416746929298e-01 8.513635220160888917e-01 1.279159367199797226e-01
1.520000000000000018e+00 2.446584550498563791e-12 7.252976445114658628e-04 3.016039123778716524e-01 8.613483546787791267e-01 1.354364071249326562e-01
1.530000000000000027e+00 1.546058232366754984e-12 5.975465058039287035e-04 2.809638853859022234e-01 8.702557044003463860e-01 1.432590534280201999e-01
1.540000000000000036e+00 9.731840970700245320e-13 4.910677562738141686e-04 2.612420341019733305e-01 8.780498820583613195e-01 1.513856167809210229e-01
1.550000000000000044e+00 6.101936677605280512e-13 4.025551534830141913e-04 2.424457864111531358e-01 8.846994536350473171e-01 1.598170228763308165e-01
1.560000000000000053e+00 3.811043682049990574e-13 3.291725609920814278e-04 2.245769876690806577e-01 8.901774513795474020e-01 1.685533319905739846e-01
1.570000000000000062e+00 2.370957089649323972e-13 2.684949524647446423e-04 2.076322886921845301e-01 8.944615559937970639e-01 1.775936905586731340e-01
1.580000000000000071e+00 1.469288226579814680e-13 2.184554524404072368e-04 1.916035527203741595e-01 8.975342481198060884e-01 1.869362846584403381e-01
1.590000000000000080e+00 9.069719177099027934e-14 1.772980322784403599e-04 1.764782755205244469e-01 8.993829276895916047e-01 1.965782957875316372e-01
1.600000000000000089e+00 5.576789079111527393e-14 1.435354602972292335e-04 1.622400130665914153e-01 9.000000000000000222e-01 2.065158593221099737e-01
1.610000000000000098e+00 3.415687539074140207e-14 1.159120964666208081e-04 1.488688115602737061e-01 8.993829276895916047e-01 2.167440260476013181e-01
1.620000000000000107e+00 2.083893829209745145e-14 9.337112233864500361e-05 1.363416349348078871e-01 8.975342481198060884e-01 2.272567271508448006e-01
1.630000000000000115e+00 1.266416554909399568e-14 7.502580452978417701e-05 1.246327854036249488e-01 8.944615559937970639e-01 2.380467430585729294e-01
1.640000000000000124e+00 7.666216973502980938e-15 6.013440346349709922e-05 1.137143130651798867e-01 8.901774513795474020e-01 2.491056764994969142e-01
1.650000000000000133e+00 4.622630405483641020e-15 4.807835687154127973e-05 1.035564110454754438e-01 8.846994536350473171e-01 2.604239301562167874e-01
1.660000000000000142e+00 2.776519791548825875e-15 3.834338852930751080e-05 9.412779314130430286e-02 8.780498820583613195e-01 2.719906892586549385e-01
1.669999999999999929e+00 1.661177012699766651e-15 3.050321581943914881e-05 8.539605141124662069e-02 8.702557044003464970e-01 2.837939094527003325e-01
1.679999999999999938e+00 9.899986197075071061e-16 2.420555409186984564e-05 7.732799163990740354e-02 8.613483546787793488e-01 2.958203102562319553e-01
1.689999999999999947e+00 5.877015046750922433e-16 1.916014067736576218e-05 6.988994506652614069e-02 8.513635220160891137e-01 3.080553743897080921e-01
1.699999999999999956e+00 3.475222003601866151e-16 1.512852621245827943e-05 6.304805521551692937e-02 8.403409124854065437e-01 3.204833532401297758e-01
1.709999999999999964e+00 2.046971713164233402e-16 1.191540516702129704e-05 5.676853908828785600e-02 8.283239861881883659e-01 3.330872786855088030e-01
1.719999999999999973e+00 1.201004587596830066e-16 9.361280762773023381e-06 5.101792236829880839e-02 8.153596719985587438e-01 3.458489814721465994e-01
1.729999999999999982e+00 7.019093515816265924e-17 7.336281559645708551e-06 4.576324865120393048e-02 8.014980625924182922e-01 3.587491162992354488e-01
1.739999999999999991e+00 4.086212312046439460e-17 5.734967678645586492e-06 4.097226303645577078e-02 7.867920925314294545e-01 3.717671937247415404e-01
1.750000000000000000e+00 2.369541747340175905e-17 4.471983806494405126e-06 3.661357070417587539e-02 7.712972022917512493e-01 3.848816189634861051e-01
1.760000000000000009e+00 1.368709679020320037e-17 3.478433729559531622e-06 3.265677135051746338e-02 7.550709912138733326e-01 3.980697376030702950e-01
1.770000000000000018e+00 7.875204667460922544e-18 2.698867160438815577e-06 2.907257056603045758e-02 7.381728624026059338e-01 4.113078882161468330e-01
1.780000000000000027e+00 4.513525470369586075e-18 2.088784075791964112e-06 2.583286941524205391e-02 7.206636626251273769e-01 4.245714617988433082e-01
1.790000000000000036e+00 2.576757109154981043e-18 1.612574733157822947e-06 2.291083361296193666e-02 7.026053202404358711e-01 4.378349679152946927e-01
1.800000000000000044e+00 1.465327180440221382e-18 1.241825053331250284e-06 2.028094379540975808e-02 6.840604841464115182e-01 4.510721073776366441e-01
1.810000000000000053e+00 8.300404652163558801e-19 9.539272338418968447e-07 1.791902845426893154e-02 6.650921666522779940e-01 4.642558512398767823e-01
1.820000000000000062e+00 4.683466973103909050e-19 7.309443978618642506e-07 1.580228114167953751e-02 6.457633930762265440e-01 4.773585258332435632e-01
1.830000000000000071e+00 2.632323106842264040e-19 5.586858858939693561e-07 1.390926356672583450e-02 6.261368607323540836e-01 4.903519035203658949e-01
1.840000000000000080e+00 1.473718269056008633e-19 4.259565704365584342e-07 1.221989619206651639e-02 6.062746098102541614e-01 5.032072987964230082e-01
1.850000000000000089e+00 8.218513554096740386e-20 3.239494204035617003e-07 1.071543790601176167e-02 5.862377084671864802e-01 5.158956693177075836e-01
1.860000000000000098e+00 4.565366222796215172e-20 2.457555625436950895e-07 9.378456293612641437e-03 5.660859542496473606e-01 5.283877213923050542e-01
1.870000000000000107e+00 2.526163780925692549e-20 1.859703762843469266e-07 8.192789963205084069e-03 5.458775937413701262e-01 5.406540194243057984e-01
1.880000000000000115e+00 1.392358030808340356e-20 1.403778048162226186e-07 7.143504305264917684e-03 5.256690621015364107e-01 5.526650987625515432e-01
1.890000000000000124e+00 7.644408403052229204e-21 1.056981503575266772e-07 6.216841971170071306e-03 5.055147439134920484e-01 5.643915813678296312e-01
1.900000000000000133e+00 4.180616935516976084e-21 7.938721965237240971e-08 5.400169263145512127e-03 4.854667565138638952e-01 5.758042936790651600e-01
1.910000000000000142e+00 2.277405719653082240e-21 5.947686383006975904e-08 4.681919525702803002e-03 4.655747567179117641e-01 5.868743860298173409e-01
1.919999999999999929e+00 1.235788005667927291e-21 4.444877460953216547e-08 4.051534525468301548e-03 4.458857716024528517e-01 5.975734529416031338e-01
